provincia;municipio;sexo;total
02 Albacete;02036 Golosalvo;Ambos sexos;6
02 Albacete;02036 Golosalvo;Hombres;4
02 Albacete;02036 Golosalvo;Mujeres;2
02 Albacete;02037 Hellín;Ambos sexos;974
02 Albacete;02037 Hellín;Hombres;456
02 Albacete;02037 Hellín;Mujeres;518
02 Albacete;02038 Herrera, La;Ambos sexos;7
02 Albacete;02038 Herrera, La;Hombres;4
02 Albacete;02038 Herrera, La;Mujeres;3
02 Albacete;02039 Higueruela;Ambos sexos;49
02 Albacete;02039 Higueruela;Hombres;18
02 Albacete;02039 Higueruela;Mujeres;31
02 Albacete;02040 Hoya-Gonzalo;Ambos sexos;17
02 Albacete;02040 Hoya-Gonzalo;Hombres;8
02 Albacete;02040 Hoya-Gonzalo;Mujeres;9
02 Albacete;02041 Jorquera;Ambos sexos;36
02 Albacete;02041 Jorquera;Hombres;13
02 Albacete;02041 Jorquera;Mujeres;23
02 Albacete;02042 Letur;Ambos sexos;50
02 Albacete;02042 Letur;Hombres;23
02 Albacete;02042 Letur;Mujeres;27
02 Albacete;02043 Lezuza;Ambos sexos;47
02 Albacete;02043 Lezuza;Hombres;23
02 Albacete;02043 Lezuza;Mujeres;24
02 Albacete;02044 Liétor;Ambos sexos;105
02 Albacete;02044 Liétor;Hombres;61
02 Albacete;02044 Liétor;Mujeres;44
02 Albacete;02045 Madrigueras;Ambos sexos;82
02 Albacete;02045 Madrigueras;Hombres;39
02 Albacete;02045 Madrigueras;Mujeres;43
02 Albacete;02046 Mahora;Ambos sexos;55
02 Albacete;02046 Mahora;Hombres;28
02 Albacete;02046 Mahora;Mujeres;27
02 Albacete;02047 Masegoso;Ambos sexos;2
02 Albacete;02047 Masegoso;Hombres;1
02 Albacete;02047 Masegoso;Mujeres;1
02 Albacete;02048 Minaya;Ambos sexos;51
02 Albacete;02048 Minaya;Hombres;26
02 Albacete;02048 Minaya;Mujeres;25
02 Albacete;02049 Molinicos;Ambos sexos;23
02 Albacete;02049 Molinicos;Hombres;11
02 Albacete;02049 Molinicos;Mujeres;12
02 Albacete;02050 Montalvos;Ambos sexos;1
02 Albacete;02050 Montalvos;Hombres;0
02 Albacete;02050 Montalvos;Mujeres;1
02 Albacete;02051 Montealegre del Castillo;Ambos sexos;29
02 Albacete;02051 Montealegre del Castillo;Hombres;13
02 Albacete;02051 Montealegre del Castillo;Mujeres;16
02 Albacete;02052 Motilleja;Ambos sexos;14
02 Albacete;02052 Motilleja;Hombres;9
02 Albacete;02052 Motilleja;Mujeres;5
02 Albacete;02053 Munera;Ambos sexos;75
02 Albacete;02053 Munera;Hombres;35
02 Albacete;02053 Munera;Mujeres;40
02 Albacete;02054 Navas de Jorquera;Ambos sexos;42
02 Albacete;02054 Navas de Jorquera;Hombres;27
02 Albacete;02054 Navas de Jorquera;Mujeres;15
02 Albacete;02055 Nerpio;Ambos sexos;41
02 Albacete;02055 Nerpio;Hombres;18
02 Albacete;02055 Nerpio;Mujeres;23
02 Albacete;02056 Ontur;Ambos sexos;95
02 Albacete;02056 Ontur;Hombres;44
02 Albacete;02056 Ontur;Mujeres;51
02 Albacete;02057 Ossa de Montiel;Ambos sexos;95
02 Albacete;02057 Ossa de Montiel;Hombres;44
02 Albacete;02057 Ossa de Montiel;Mujeres;51
02 Albacete;02058 Paterna del Madera;Ambos sexos;10
02 Albacete;02058 Paterna del Madera;Hombres;4
02 Albacete;02058 Paterna del Madera;Mujeres;6
02 Albacete;02059 Peñascosa;Ambos sexos;16
02 Albacete;02059 Peñascosa;Hombres;5
02 Albacete;02059 Peñascosa;Mujeres;11
02 Albacete;02060 Peñas de San Pedro;Ambos sexos;20
02 Albacete;02060 Peñas de San Pedro;Hombres;12
02 Albacete;02060 Peñas de San Pedro;Mujeres;8
02 Albacete;02061 Pétrola;Ambos sexos;4
02 Albacete;02061 Pétrola;Hombres;3
02 Albacete;02061 Pétrola;Mujeres;1
02 Albacete;02062 Povedilla;Ambos sexos;7
02 Albacete;02062 Povedilla;Hombres;7
02 Albacete;02062 Povedilla;Mujeres;0
02 Albacete;02063 Pozohondo;Ambos sexos;73
02 Albacete;02063 Pozohondo;Hombres;32
02 Albacete;02063 Pozohondo;Mujeres;41
02 Albacete;02064 Pozo-Lorente;Ambos sexos;40
02 Albacete;02064 Pozo-Lorente;Hombres;16
02 Albacete;02064 Pozo-Lorente;Mujeres;24
02 Albacete;02065 Pozuelo;Ambos sexos;9
02 Albacete;02065 Pozuelo;Hombres;5
02 Albacete;02065 Pozuelo;Mujeres;4
02 Albacete;02066 Recueja, La;Ambos sexos;9
02 Albacete;02066 Recueja, La;Hombres;4
02 Albacete;02066 Recueja, La;Mujeres;5
02 Albacete;02067 Riópar;Ambos sexos;27
02 Albacete;02067 Riópar;Hombres;11
02 Albacete;02067 Riópar;Mujeres;16
02 Albacete;02068 Robledo;Ambos sexos;30
02 Albacete;02068 Robledo;Hombres;16
02 Albacete;02068 Robledo;Mujeres;14
02 Albacete;02069 Roda, La;Ambos sexos;240
02 Albacete;02069 Roda, La;Hombres;130
02 Albacete;02069 Roda, La;Mujeres;110
02 Albacete;02070 Salobre;Ambos sexos;34
02 Albacete;02070 Salobre;Hombres;18
02 Albacete;02070 Salobre;Mujeres;16
02 Albacete;02071 San Pedro;Ambos sexos;10
02 Albacete;02071 San Pedro;Hombres;5
02 Albacete;02071 San Pedro;Mujeres;5
02 Albacete;02072 Socovos;Ambos sexos;131
02 Albacete;02072 Socovos;Hombres;61
02 Albacete;02072 Socovos;Mujeres;70
02 Albacete;02073 Tarazona de la Mancha;Ambos sexos;173
02 Albacete;02073 Tarazona de la Mancha;Hombres;97
02 Albacete;02073 Tarazona de la Mancha;Mujeres;76
02 Albacete;02074 Tobarra;Ambos sexos;384
02 Albacete;02074 Tobarra;Hombres;214
02 Albacete;02074 Tobarra;Mujeres;170
02 Albacete;02075 Valdeganga;Ambos sexos;46
02 Albacete;02075 Valdeganga;Hombres;25
02 Albacete;02075 Valdeganga;Mujeres;21
02 Albacete;02076 Vianos;Ambos sexos;23
02 Albacete;02076 Vianos;Hombres;15
02 Albacete;02076 Vianos;Mujeres;8
02 Albacete;02077 Villa de Ves;Ambos sexos;5
02 Albacete;02077 Villa de Ves;Hombres;3
02 Albacete;02077 Villa de Ves;Mujeres;2
02 Albacete;02078 Villalgordo del Júcar;Ambos sexos;30
02 Albacete;02078 Villalgordo del Júcar;Hombres;17
02 Albacete;02078 Villalgordo del Júcar;Mujeres;13
02 Albacete;02079 Villamalea;Ambos sexos;82
02 Albacete;02079 Villamalea;Hombres;32
02 Albacete;02079 Villamalea;Mujeres;50
02 Albacete;02080 Villapalacios;Ambos sexos;49
02 Albacete;02080 Villapalacios;Hombres;28
02 Albacete;02080 Villapalacios;Mujeres;21
02 Albacete;02081 Villarrobledo;Ambos sexos;351
02 Albacete;02081 Villarrobledo;Hombres;154
02 Albacete;02081 Villarrobledo;Mujeres;197
02 Albacete;02082 Villatoya;Ambos sexos;5
02 Albacete;02082 Villatoya;Hombres;1
02 Albacete;02082 Villatoya;Mujeres;4
02 Albacete;02083 Villavaliente;Ambos sexos;17
02 Albacete;02083 Villavaliente;Hombres;11
02 Albacete;02083 Villavaliente;Mujeres;6
02 Albacete;02084 Villaverde de Guadalimar;Ambos sexos;19
02 Albacete;02084 Villaverde de Guadalimar;Hombres;10
02 Albacete;02084 Villaverde de Guadalimar;Mujeres;9
02 Albacete;02085 Viveros;Ambos sexos;13
02 Albacete;02085 Viveros;Hombres;7
02 Albacete;02085 Viveros;Mujeres;6
02 Albacete;02086 Yeste;Ambos sexos;177
02 Albacete;02086 Yeste;Hombres;80
02 Albacete;02086 Yeste;Mujeres;97
02 Albacete;02901 Pozo Cañada;Ambos sexos;29
02 Albacete;02901 Pozo Cañada;Hombres;11
02 Albacete;02901 Pozo Cañada;Mujeres;18
03 Alicante/Alacant;N/A;Ambos sexos;55.669
03 Alicante/Alacant;N/A;Hombres;27.988
03 Alicante/Alacant;N/A;Mujeres;27.681
03 Alicante/Alacant;03001 Atzúbia, l';Ambos sexos;20
03 Alicante/Alacant;03001 Atzúbia, l';Hombres;9
03 Alicante/Alacant;03001 Atzúbia, l';Mujeres;11
03 Alicante/Alacant;03002 Agost;Ambos sexos;76
03 Alicante/Alacant;03002 Agost;Hombres;34
03 Alicante/Alacant;03002 Agost;Mujeres;42
03 Alicante/Alacant;03003 Agres;Ambos sexos;29
03 Alicante/Alacant;03003 Agres;Hombres;14
03 Alicante/Alacant;03003 Agres;Mujeres;15
03 Alicante/Alacant;03004 Aigües;Ambos sexos;19
03 Alicante/Alacant;03004 Aigües;Hombres;10
03 Alicante/Alacant;03004 Aigües;Mujeres;9
03 Alicante/Alacant;03005 Albatera;Ambos sexos;244
03 Alicante/Alacant;03005 Albatera;Hombres;137
03 Alicante/Alacant;03005 Albatera;Mujeres;107
03 Alicante/Alacant;03006 Alcalalí;Ambos sexos;124
03 Alicante/Alacant;03006 Alcalalí;Hombres;58
03 Alicante/Alacant;03006 Alcalalí;Mujeres;66
03 Alicante/Alacant;03007 Alcosser;Ambos sexos;12
03 Alicante/Alacant;03007 Alcosser;Hombres;3
03 Alicante/Alacant;03007 Alcosser;Mujeres;9
03 Alicante/Alacant;03008 Alcoleja;Ambos sexos;4
03 Alicante/Alacant;03008 Alcoleja;Hombres;2
03 Alicante/Alacant;03008 Alcoleja;Mujeres;2
