provincia;municipio;sexo;total
13 Ciudad Real;13051 Luciana;Hombres;10
13 Ciudad Real;13051 Luciana;Mujeres;7
13 Ciudad Real;13052 Malagón;Ambos sexos;121
13 Ciudad Real;13052 Malagón;Hombres;68
13 Ciudad Real;13052 Malagón;Mujeres;53
13 Ciudad Real;13053 Manzanares;Ambos sexos;265
13 Ciudad Real;13053 Manzanares;Hombres;139
13 Ciudad Real;13053 Manzanares;Mujeres;126
13 Ciudad Real;13054 Membrilla;Ambos sexos;55
13 Ciudad Real;13054 Membrilla;Hombres;27
13 Ciudad Real;13054 Membrilla;Mujeres;28
13 Ciudad Real;13055 Mestanza;Ambos sexos;13
13 Ciudad Real;13055 Mestanza;Hombres;4
13 Ciudad Real;13055 Mestanza;Mujeres;9
13 Ciudad Real;13056 Miguelturra;Ambos sexos;112
13 Ciudad Real;13056 Miguelturra;Hombres;54
13 Ciudad Real;13056 Miguelturra;Mujeres;58
13 Ciudad Real;13057 Montiel;Ambos sexos;14
13 Ciudad Real;13057 Montiel;Hombres;5
13 Ciudad Real;13057 Montiel;Mujeres;9
13 Ciudad Real;13058 Moral de Calatrava;Ambos sexos;74
13 Ciudad Real;13058 Moral de Calatrava;Hombres;36
13 Ciudad Real;13058 Moral de Calatrava;Mujeres;38
13 Ciudad Real;13059 Navalpino;Ambos sexos;3
13 Ciudad Real;13059 Navalpino;Hombres;1
13 Ciudad Real;13059 Navalpino;Mujeres;2
13 Ciudad Real;13061 Pedro Muñoz;Ambos sexos;119
13 Ciudad Real;13061 Pedro Muñoz;Hombres;46
13 Ciudad Real;13061 Pedro Muñoz;Mujeres;73
13 Ciudad Real;13062 Picón;Ambos sexos;14
13 Ciudad Real;13062 Picón;Hombres;7
13 Ciudad Real;13062 Picón;Mujeres;7
13 Ciudad Real;13063 Piedrabuena;Ambos sexos;54
13 Ciudad Real;13063 Piedrabuena;Hombres;34
13 Ciudad Real;13063 Piedrabuena;Mujeres;20
13 Ciudad Real;13064 Poblete;Ambos sexos;16
13 Ciudad Real;13064 Poblete;Hombres;7
13 Ciudad Real;13064 Poblete;Mujeres;9
13 Ciudad Real;13065 Porzuna;Ambos sexos;56
13 Ciudad Real;13065 Porzuna;Hombres;23
13 Ciudad Real;13065 Porzuna;Mujeres;33
13 Ciudad Real;13066 Pozuelo de Calatrava;Ambos sexos;23
13 Ciudad Real;13066 Pozuelo de Calatrava;Hombres;9
13 Ciudad Real;13066 Pozuelo de Calatrava;Mujeres;14
13 Ciudad Real;13067 Pozuelos de Calatrava, Los;Ambos sexos;5
13 Ciudad Real;13067 Pozuelos de Calatrava, Los;Hombres;3
13 Ciudad Real;13067 Pozuelos de Calatrava, Los;Mujeres;2
13 Ciudad Real;13068 Puebla de Don Rodrigo;Ambos sexos;40
13 Ciudad Real;13068 Puebla de Don Rodrigo;Hombres;19
13 Ciudad Real;13068 Puebla de Don Rodrigo;Mujeres;21
13 Ciudad Real;13069 Puebla del Príncipe;Ambos sexos;8
13 Ciudad Real;13069 Puebla del Príncipe;Hombres;3
13 Ciudad Real;13069 Puebla del Príncipe;Mujeres;5
13 Ciudad Real;13070 Puerto Lápice;Ambos sexos;30
13 Ciudad Real;13070 Puerto Lápice;Hombres;8
13 Ciudad Real;13070 Puerto Lápice;Mujeres;22
13 Ciudad Real;13071 Puertollano;Ambos sexos;1.198
13 Ciudad Real;13071 Puertollano;Hombres;608
13 Ciudad Real;13071 Puertollano;Mujeres;590
13 Ciudad Real;13072 Retuerta del Bullaque;Ambos sexos;20
13 Ciudad Real;13072 Retuerta del Bullaque;Hombres;10
13 Ciudad Real;13072 Retuerta del Bullaque;Mujeres;10
13 Ciudad Real;13073 Saceruela;Ambos sexos;10
13 Ciudad Real;13073 Saceruela;Hombres;5
13 Ciudad Real;13073 Saceruela;Mujeres;5
13 Ciudad Real;13074 San Carlos del Valle;Ambos sexos;13
13 Ciudad Real;13074 San Carlos del Valle;Hombres;6
13 Ciudad Real;13074 San Carlos del Valle;Mujeres;7
13 Ciudad Real;13075 San Lorenzo de Calatrava;Ambos sexos;4
13 Ciudad Real;13075 San Lorenzo de Calatrava;Hombres;1
13 Ciudad Real;13075 San Lorenzo de Calatrava;Mujeres;3
13 Ciudad Real;13077 Santa Cruz de Mudela;Ambos sexos;40
13 Ciudad Real;13077 Santa Cruz de Mudela;Hombres;20
13 Ciudad Real;13077 Santa Cruz de Mudela;Mujeres;20
13 Ciudad Real;13078 Socuéllamos;Ambos sexos;241
13 Ciudad Real;13078 Socuéllamos;Hombres;125
13 Ciudad Real;13078 Socuéllamos;Mujeres;116
13 Ciudad Real;13079 Solana, La;Ambos sexos;71
13 Ciudad Real;13079 Solana, La;Hombres;31
13 Ciudad Real;13079 Solana, La;Mujeres;40
13 Ciudad Real;13080 Solana del Pino;Ambos sexos;5
13 Ciudad Real;13080 Solana del Pino;Hombres;4
13 Ciudad Real;13080 Solana del Pino;Mujeres;1
13 Ciudad Real;13081 Terrinches;Ambos sexos;18
13 Ciudad Real;13081 Terrinches;Hombres;11
13 Ciudad Real;13081 Terrinches;Mujeres;7
13 Ciudad Real;13082 Tomelloso;Ambos sexos;451
13 Ciudad Real;13082 Tomelloso;Hombres;225
13 Ciudad Real;13082 Tomelloso;Mujeres;226
13 Ciudad Real;13083 Torralba de Calatrava;Ambos sexos;29
13 Ciudad Real;13083 Torralba de Calatrava;Hombres;14
13 Ciudad Real;13083 Torralba de Calatrava;Mujeres;15
13 Ciudad Real;13084 Torre de Juan Abad;Ambos sexos;56
13 Ciudad Real;13084 Torre de Juan Abad;Hombres;32
13 Ciudad Real;13084 Torre de Juan Abad;Mujeres;24
13 Ciudad Real;13085 Torrenueva;Ambos sexos;27
13 Ciudad Real;13085 Torrenueva;Hombres;11
13 Ciudad Real;13085 Torrenueva;Mujeres;16
13 Ciudad Real;13087 Valdepeñas;Ambos sexos;557
13 Ciudad Real;13087 Valdepeñas;Hombres;274
13 Ciudad Real;13087 Valdepeñas;Mujeres;283
13 Ciudad Real;13088 Valenzuela de Calatrava;Ambos sexos;13
13 Ciudad Real;13088 Valenzuela de Calatrava;Hombres;9
13 Ciudad Real;13088 Valenzuela de Calatrava;Mujeres;4
13 Ciudad Real;13089 Villahermosa;Ambos sexos;24
13 Ciudad Real;13089 Villahermosa;Hombres;14
13 Ciudad Real;13089 Villahermosa;Mujeres;10
13 Ciudad Real;13090 Villamanrique;Ambos sexos;6
13 Ciudad Real;13090 Villamanrique;Hombres;5
13 Ciudad Real;13090 Villamanrique;Mujeres;1
13 Ciudad Real;13091 Villamayor de Calatrava;Ambos sexos;17
13 Ciudad Real;13091 Villamayor de Calatrava;Hombres;6
13 Ciudad Real;13091 Villamayor de Calatrava;Mujeres;11
13 Ciudad Real;13092 Villanueva de la Fuente;Ambos sexos;46
13 Ciudad Real;13092 Villanueva de la Fuente;Hombres;24
13 Ciudad Real;13092 Villanueva de la Fuente;Mujeres;22
13 Ciudad Real;13093 Villanueva de los Infantes;Ambos sexos;110
13 Ciudad Real;13093 Villanueva de los Infantes;Hombres;56
13 Ciudad Real;13093 Villanueva de los Infantes;Mujeres;54
13 Ciudad Real;13094 Villanueva de San Carlos;Ambos sexos;6
13 Ciudad Real;13094 Villanueva de San Carlos;Hombres;2
13 Ciudad Real;13094 Villanueva de San Carlos;Mujeres;4
13 Ciudad Real;13095 Villar del Pozo;Ambos sexos;3
13 Ciudad Real;13095 Villar del Pozo;Hombres;2
13 Ciudad Real;13095 Villar del Pozo;Mujeres;1
13 Ciudad Real;13096 Villarrubia de los Ojos;Ambos sexos;71
13 Ciudad Real;13096 Villarrubia de los Ojos;Hombres;43
13 Ciudad Real;13096 Villarrubia de los Ojos;Mujeres;28
13 Ciudad Real;13097 Villarta de San Juan;Ambos sexos;26
13 Ciudad Real;13097 Villarta de San Juan;Hombres;15
13 Ciudad Real;13097 Villarta de San Juan;Mujeres;11
13 Ciudad Real;13098 Viso del Marqués;Ambos sexos;44
13 Ciudad Real;13098 Viso del Marqués;Hombres;25
13 Ciudad Real;13098 Viso del Marqués;Mujeres;19
13 Ciudad Real;13901 Robledo, El;Ambos sexos;5
13 Ciudad Real;13901 Robledo, El;Hombres;1
13 Ciudad Real;13901 Robledo, El;Mujeres;4
13 Ciudad Real;13902 Ruidera;Ambos sexos;11
13 Ciudad Real;13902 Ruidera;Hombres;6
13 Ciudad Real;13902 Ruidera;Mujeres;5
13 Ciudad Real;13903 Arenales de San Gregorio;Ambos sexos;14
13 Ciudad Real;13903 Arenales de San Gregorio;Hombres;6
13 Ciudad Real;13903 Arenales de San Gregorio;Mujeres;8
13 Ciudad Real;13904 Llanos del Caudillo;Ambos sexos;4
13 Ciudad Real;13904 Llanos del Caudillo;Hombres;3
13 Ciudad Real;13904 Llanos del Caudillo;Mujeres;1
14 Córdoba;N/A;Ambos sexos;22.054
14 Córdoba;N/A;Hombres;11.005
14 Córdoba;N/A;Mujeres;11.049
14 Córdoba;14001 Adamuz;Ambos sexos;65
14 Córdoba;14001 Adamuz;Hombres;28
14 Córdoba;14001 Adamuz;Mujeres;37
14 Córdoba;14002 Aguilar de la Frontera;Ambos sexos;155
14 Córdoba;14002 Aguilar de la Frontera;Hombres;81
14 Córdoba;14002 Aguilar de la Frontera;Mujeres;74
14 Córdoba;14003 Alcaracejos;Ambos sexos;53
14 Córdoba;14003 Alcaracejos;Hombres;28
14 Córdoba;14003 Alcaracejos;Mujeres;25
14 Córdoba;14004 Almedinilla;Ambos sexos;70
14 Córdoba;14004 Almedinilla;Hombres;29
14 Córdoba;14004 Almedinilla;Mujeres;41
14 Córdoba;14005 Almodóvar del Río;Ambos sexos;285
14 Córdoba;14005 Almodóvar del Río;Hombres;137
14 Córdoba;14005 Almodóvar del Río;Mujeres;148
14 Córdoba;14006 Añora;Ambos sexos;27
14 Córdoba;14006 Añora;Hombres;15
14 Córdoba;14006 Añora;Mujeres;12
14 Córdoba;14007 Baena;Ambos sexos;394
14 Córdoba;14007 Baena;Hombres;191
14 Córdoba;14007 Baena;Mujeres;203
14 Córdoba;14008 Belalcázar;Ambos sexos;86
14 Córdoba;14008 Belalcázar;Hombres;45
14 Córdoba;14008 Belalcázar;Mujeres;41
14 Córdoba;14009 Belmez;Ambos sexos;478
14 Córdoba;14009 Belmez;Hombres;240
14 Córdoba;14009 Belmez;Mujeres;238
14 Córdoba;14010 Benamejí;Ambos sexos;60
14 Córdoba;14010 Benamejí;Hombres;21
14 Córdoba;14010 Benamejí;Mujeres;39
14 Córdoba;14011 Blázquez, Los;Ambos sexos;23
14 Córdoba;14011 Blázquez, Los;Hombres;9
14 Córdoba;14011 Blázquez, Los;Mujeres;14
14 Córdoba;14012 Bujalance;Ambos sexos;103
14 Córdoba;14012 Bujalance;Hombres;52
14 Córdoba;14012 Bujalance;Mujeres;51
14 Córdoba;14013 Cabra;Ambos sexos;556
14 Córdoba;14013 Cabra;Hombres;288
14 Córdoba;14013 Cabra;Mujeres;268
14 Córdoba;14014 Cañete de las Torres;Ambos sexos;67
14 Córdoba;14014 Cañete de las Torres;Hombres;31
14 Córdoba;14014 Cañete de las Torres;Mujeres;36
14 Córdoba;14015 Carcabuey;Ambos sexos;122
14 Córdoba;14015 Carcabuey;Hombres;66
14 Córdoba;14015 Carcabuey;Mujeres;56
14 Córdoba;14016 Cardeña;Ambos sexos;52
14 Córdoba;14016 Cardeña;Hombres;22
14 Córdoba;14016 Cardeña;Mujeres;30
14 Córdoba;14017 Carlota, La;Ambos sexos;177
14 Córdoba;14017 Carlota, La;Hombres;92
14 Córdoba;14017 Carlota, La;Mujeres;85
14 Córdoba;14018 Carpio, El;Ambos sexos;56
14 Córdoba;14018 Carpio, El;Hombres;24
14 Córdoba;14018 Carpio, El;Mujeres;32
14 Córdoba;14019 Castro del Río;Ambos sexos;98
14 Córdoba;14019 Castro del Río;Hombres;46
14 Córdoba;14019 Castro del Río;Mujeres;52
14 Córdoba;14020 Conquista;Ambos sexos;11
14 Córdoba;14020 Conquista;Hombres;2
14 Córdoba;14020 Conquista;Mujeres;9
14 Córdoba;14021 Córdoba;Ambos sexos;10.224
14 Córdoba;14021 Córdoba;Hombres;5.121
14 Córdoba;14021 Córdoba;Mujeres;5.103
14 Córdoba;14022 Doña Mencía;Ambos sexos;159
14 Córdoba;14022 Doña Mencía;Hombres;86
14 Córdoba;14022 Doña Mencía;Mujeres;73
14 Córdoba;14023 Dos Torres;Ambos sexos;70
14 Córdoba;14023 Dos Torres;Hombres;41
14 Córdoba;14023 Dos Torres;Mujeres;29
14 Córdoba;14024 Encinas Reales;Ambos sexos;32
14 Córdoba;14024 Encinas Reales;Hombres;15
14 Córdoba;14024 Encinas Reales;Mujeres;17
14 Córdoba;14025 Espejo;Ambos sexos;159
14 Córdoba;14025 Espejo;Hombres;80
14 Córdoba;14025 Espejo;Mujeres;79
14 Córdoba;14026 Espiel;Ambos sexos;158
14 Córdoba;14026 Espiel;Hombres;62
14 Córdoba;14026 Espiel;Mujeres;96
14 Córdoba;14027 Fernán-Núñez;Ambos sexos;285
14 Córdoba;14027 Fernán-Núñez;Hombres;145
14 Córdoba;14027 Fernán-Núñez;Mujeres;140
14 Córdoba;14028 Fuente la Lancha;Ambos sexos;28
14 Córdoba;14028 Fuente la Lancha;Hombres;12
14 Córdoba;14028 Fuente la Lancha;Mujeres;16
14 Córdoba;14029 Fuente Obejuna;Ambos sexos;345
14 Córdoba;14029 Fuente Obejuna;Hombres;189
14 Córdoba;14029 Fuente Obejuna;Mujeres;156
14 Córdoba;14030 Fuente Palmera;Ambos sexos;171
14 Córdoba;14030 Fuente Palmera;Hombres;76
14 Córdoba;14030 Fuente Palmera;Mujeres;95
14 Córdoba;14031 Fuente-Tójar;Ambos sexos;55
14 Córdoba;14031 Fuente-Tójar;Hombres;26
14 Córdoba;14031 Fuente-Tójar;Mujeres;29
14 Córdoba;14032 Granjuela, La;Ambos sexos;31
14 Córdoba;14032 Granjuela, La;Hombres;18
14 Córdoba;14032 Granjuela, La;Mujeres;13
14 Córdoba;14033 Guadalcázar;Ambos sexos;27
14 Córdoba;14033 Guadalcázar;Hombres;14
14 Córdoba;14033 Guadalcázar;Mujeres;13
14 Córdoba;14034 Guijo, El;Ambos sexos;2
14 Córdoba;14034 Guijo, El;Hombres;2
14 Córdoba;14034 Guijo, El;Mujeres;0
14 Córdoba;14035 Hinojosa del Duque;Ambos sexos;209
14 Córdoba;14035 Hinojosa del Duque;Hombres;105
14 Córdoba;14035 Hinojosa del Duque;Mujeres;104
14 Córdoba;14036 Hornachuelos;Ambos sexos;47
14 Córdoba;14036 Hornachuelos;Hombres;15
14 Córdoba;14036 Hornachuelos;Mujeres;32
14 Córdoba;14037 Iznájar;Ambos sexos;108
14 Córdoba;14037 Iznájar;Hombres;58
14 Córdoba;14037 Iznájar;Mujeres;50
14 Córdoba;14038 Lucena;Ambos sexos;673
14 Córdoba;14038 Lucena;Hombres;327
14 Córdoba;14038 Lucena;Mujeres;346
14 Córdoba;14039 Luque;Ambos sexos;102
14 Córdoba;14039 Luque;Hombres;51
14 Córdoba;14039 Luque;Mujeres;51
14 Córdoba;14040 Montalbán de Córdoba;Ambos sexos;106
14 Córdoba;14040 Montalbán de Córdoba;Hombres;51
14 Córdoba;14040 Montalbán de Córdoba;Mujeres;55
14 Córdoba;14041 Montemayor;Ambos sexos;68
14 Córdoba;14041 Montemayor;Hombres;37
14 Córdoba;14041 Montemayor;Mujeres;31
14 Córdoba;14042 Montilla;Ambos sexos;485
14 Córdoba;14042 Montilla;Hombres;251
14 Córdoba;14042 Montilla;Mujeres;234
14 Córdoba;14043 Montoro;Ambos sexos;130
14 Córdoba;14043 Montoro;Hombres;62
14 Córdoba;14043 Montoro;Mujeres;68
14 Córdoba;14044 Monturque;Ambos sexos;35
14 Córdoba;14044 Monturque;Hombres;17
14 Córdoba;14044 Monturque;Mujeres;18
14 Córdoba;14045 Moriles;Ambos sexos;25
14 Córdoba;14045 Moriles;Hombres;14
14 Córdoba;14045 Moriles;Mujeres;11
14 Córdoba;14046 Nueva Carteya;Ambos sexos;66
14 Córdoba;14046 Nueva Carteya;Hombres;37
14 Córdoba;14046 Nueva Carteya;Mujeres;29
14 Córdoba;14047 Obejo;Ambos sexos;21
14 Córdoba;14047 Obejo;Hombres;6
14 Córdoba;14047 Obejo;Mujeres;15
14 Córdoba;14048 Palenciana;Ambos sexos;28
14 Córdoba;14048 Palenciana;Hombres;16
14 Córdoba;14048 Palenciana;Mujeres;12
14 Córdoba;14049 Palma del Río;Ambos sexos;413
14 Córdoba;14049 Palma del Río;Hombres;216
14 Córdoba;14049 Palma del Río;Mujeres;197
14 Córdoba;14050 Pedro Abad;Ambos sexos;41
14 Córdoba;14050 Pedro Abad;Hombres;20
14 Córdoba;14050 Pedro Abad;Mujeres;21
14 Córdoba;14051 Pedroche;Ambos sexos;51
14 Córdoba;14051 Pedroche;Hombres;27
14 Córdoba;14051 Pedroche;Mujeres;24
14 Córdoba;14052 Peñarroya-Pueblonuevo;Ambos sexos;1.686
14 Córdoba;14052 Peñarroya-Pueblonuevo;Hombres;849
14 Córdoba;14052 Peñarroya-Pueblonuevo;Mujeres;837
14 Córdoba;14053 Posadas;Ambos sexos;270
14 Córdoba;14053 Posadas;Hombres;145
14 Córdoba;14053 Posadas;Mujeres;125
14 Córdoba;14054 Pozoblanco;Ambos sexos;308
14 Córdoba;14054 Pozoblanco;Hombres;151
14 Córdoba;14054 Pozoblanco;Mujeres;157
14 Córdoba;14055 Priego de Córdoba;Ambos sexos;416
14 Córdoba;14055 Priego de Córdoba;Hombres;186
14 Córdoba;14055 Priego de Córdoba;Mujeres;230
14 Córdoba;14056 Puente Genil;Ambos sexos;526
14 Córdoba;14056 Puente Genil;Hombres;260
14 Córdoba;14056 Puente Genil;Mujeres;266
14 Córdoba;14057 Rambla, La;Ambos sexos;211
14 Córdoba;14057 Rambla, La;Hombres;112
14 Córdoba;14057 Rambla, La;Mujeres;99
14 Córdoba;14058 Rute;Ambos sexos;164
14 Córdoba;14058 Rute;Hombres;91
14 Córdoba;14058 Rute;Mujeres;73
14 Córdoba;14059 San Sebastián de los Ballesteros;Ambos sexos;16
14 Córdoba;14059 San Sebastián de los Ballesteros;Hombres;5
14 Córdoba;14059 San Sebastián de los Ballesteros;Mujeres;11
14 Córdoba;14060 Santaella;Ambos sexos;65
14 Córdoba;14060 Santaella;Hombres;24
14 Córdoba;14060 Santaella;Mujeres;41
14 Córdoba;14061 Santa Eufemia;Ambos sexos;40
14 Córdoba;14061 Santa Eufemia;Hombres;20
14 Córdoba;14061 Santa Eufemia;Mujeres;20
14 Córdoba;14062 Torrecampo;Ambos sexos;48
14 Córdoba;14062 Torrecampo;Hombres;21
14 Córdoba;14062 Torrecampo;Mujeres;27
14 Córdoba;14063 Valenzuela;Ambos sexos;27
14 Córdoba;14063 Valenzuela;Hombres;12
14 Córdoba;14063 Valenzuela;Mujeres;15
14 Córdoba;14064 Valsequillo;Ambos sexos;30
14 Córdoba;14064 Valsequillo;Hombres;17
14 Córdoba;14064 Valsequillo;Mujeres;13
14 Córdoba;14065 Victoria, La;Ambos sexos;22
14 Córdoba;14065 Victoria, La;Hombres;10
14 Córdoba;14065 Victoria, La;Mujeres;12
14 Córdoba;14066 Villa del Río;Ambos sexos;122
14 Córdoba;14066 Villa del Río;Hombres;58
14 Córdoba;14066 Villa del Río;Mujeres;64
14 Córdoba;14067 Villafranca de Córdoba;Ambos sexos;101
14 Córdoba;14067 Villafranca de Córdoba;Hombres;50
14 Córdoba;14067 Villafranca de Córdoba;Mujeres;51
14 Córdoba;14068 Villaharta;Ambos sexos;12
14 Córdoba;14068 Villaharta;Hombres;3
14 Córdoba;14068 Villaharta;Mujeres;9
14 Córdoba;14069 Villanueva de Córdoba;Ambos sexos;196
14 Córdoba;14069 Villanueva de Córdoba;Hombres;91
14 Córdoba;14069 Villanueva de Córdoba;Mujeres;105
14 Córdoba;14070 Villanueva del Duque;Ambos sexos;73
14 Córdoba;14070 Villanueva del Duque;Hombres;41
14 Córdoba;14070 Villanueva del Duque;Mujeres;32
14 Córdoba;14071 Villanueva del Rey;Ambos sexos;104
14 Córdoba;14071 Villanueva del Rey;Hombres;54
14 Córdoba;14071 Villanueva del Rey;Mujeres;50
14 Córdoba;14072 Villaralto;Ambos sexos;18
14 Córdoba;14072 Villaralto;Hombres;8
14 Córdoba;14072 Villaralto;Mujeres;10
14 Córdoba;14073 Villaviciosa de Córdoba;Ambos sexos;135
14 Córdoba;14073 Villaviciosa de Córdoba;Hombres;73
14 Córdoba;14073 Villaviciosa de Córdoba;Mujeres;62
14 Córdoba;14074 Viso, El;Ambos sexos;142
14 Córdoba;14074 Viso, El;Hombres;71
14 Córdoba;14074 Viso, El;Mujeres;71
14 Córdoba;14075 Zuheros;Ambos sexos;28
14 Córdoba;14075 Zuheros;Hombres;8
14 Córdoba;14075 Zuheros;Mujeres;20
14 Córdoba;14901 Fuente Carreteros;Ambos sexos;1
14 Córdoba;14901 Fuente Carreteros;Hombres;0
14 Córdoba;14901 Fuente Carreteros;Mujeres;1
14 Córdoba;14902 Guijarrosa, La;Ambos sexos;1
14 Córdoba;14902 Guijarrosa, La;Hombres;1
14 Córdoba;14902 Guijarrosa, La;Mujeres;0
15 Coruña, A;N/A;Ambos sexos;183.691
15 Coruña, A;N/A;Hombres;89.702
15 Coruña, A;N/A;Mujeres;93.989
15 Coruña, A;15001 Abegondo;Ambos sexos;1.479
15 Coruña, A;15001 Abegondo;Hombres;733
15 Coruña, A;15001 Abegondo;Mujeres;746
15 Coruña, A;15002 Ames;Ambos sexos;2.672
15 Coruña, A;15002 Ames;Hombres;1.324
15 Coruña, A;15002 Ames;Mujeres;1.348
15 Coruña, A;15003 Aranga;Ambos sexos;543
15 Coruña, A;15003 Aranga;Hombres;250
15 Coruña, A;15003 Aranga;Mujeres;293
15 Coruña, A;15004 Ares;Ambos sexos;683
15 Coruña, A;15004 Ares;Hombres;340
15 Coruña, A;15004 Ares;Mujeres;343
15 Coruña, A;15005 Arteixo;Ambos sexos;2.114
15 Coruña, A;15005 Arteixo;Hombres;994
15 Coruña, A;15005 Arteixo;Mujeres;1.120
15 Coruña, A;15006 Arzúa;Ambos sexos;1.470
15 Coruña, A;15006 Arzúa;Hombres;686
15 Coruña, A;15006 Arzúa;Mujeres;784
15 Coruña, A;15007 Baña, A;Ambos sexos;1.843
15 Coruña, A;15007 Baña, A;Hombres;909
15 Coruña, A;15007 Baña, A;Mujeres;934
15 Coruña, A;15008 Bergondo;Ambos sexos;1.211
15 Coruña, A;15008 Bergondo;Hombres;613
15 Coruña, A;15008 Bergondo;Mujeres;598
15 Coruña, A;15009 Betanzos;Ambos sexos;2.251
15 Coruña, A;15009 Betanzos;Hombres;1.140
15 Coruña, A;15009 Betanzos;Mujeres;1.111
15 Coruña, A;15010 Boimorto;Ambos sexos;402
15 Coruña, A;15010 Boimorto;Hombres;211
15 Coruña, A;15010 Boimorto;Mujeres;191
15 Coruña, A;15011 Boiro;Ambos sexos;1.413
15 Coruña, A;15011 Boiro;Hombres;706
15 Coruña, A;15011 Boiro;Mujeres;707
15 Coruña, A;15012 Boqueixón;Ambos sexos;1.010
15 Coruña, A;15012 Boqueixón;Hombres;467
15 Coruña, A;15012 Boqueixón;Mujeres;543
15 Coruña, A;15013 Brión;Ambos sexos;1.378
15 Coruña, A;15013 Brión;Hombres;701
15 Coruña, A;15013 Brión;Mujeres;677
15 Coruña, A;15014 Cabana de Bergantiños;Ambos sexos;1.837
15 Coruña, A;15014 Cabana de Bergantiños;Hombres;878
15 Coruña, A;15014 Cabana de Bergantiños;Mujeres;959
15 Coruña, A;15015 Cabanas;Ambos sexos;459
15 Coruña, A;15015 Cabanas;Hombres;222
15 Coruña, A;15015 Cabanas;Mujeres;237
15 Coruña, A;15016 Camariñas;Ambos sexos;2.330
15 Coruña, A;15016 Camariñas;Hombres;1.202
15 Coruña, A;15016 Camariñas;Mujeres;1.128
15 Coruña, A;15017 Cambre;Ambos sexos;1.285
15 Coruña, A;15017 Cambre;Hombres;633
15 Coruña, A;15017 Cambre;Mujeres;652
15 Coruña, A;15018 Capela, A;Ambos sexos;369
15 Coruña, A;15018 Capela, A;Hombres;180
15 Coruña, A;15018 Capela, A;Mujeres;189
15 Coruña, A;15019 Carballo;Ambos sexos;6.043
15 Coruña, A;15019 Carballo;Hombres;2.941
15 Coruña, A;15019 Carballo;Mujeres;3.102
15 Coruña, A;15020 Carnota;Ambos sexos;1.838
15 Coruña, A;15020 Carnota;Hombres;935
15 Coruña, A;15020 Carnota;Mujeres;903
15 Coruña, A;15021 Carral;Ambos sexos;908
15 Coruña, A;15021 Carral;Hombres;446
15 Coruña, A;15021 Carral;Mujeres;462
15 Coruña, A;15022 Cedeira;Ambos sexos;807
15 Coruña, A;15022 Cedeira;Hombres;370
15 Coruña, A;15022 Cedeira;Mujeres;437
15 Coruña, A;15023 Cee;Ambos sexos;1.802
15 Coruña, A;15023 Cee;Hombres;927
15 Coruña, A;15023 Cee;Mujeres;875
15 Coruña, A;15024 Cerceda;Ambos sexos;1.832
15 Coruña, A;15024 Cerceda;Hombres;907
15 Coruña, A;15024 Cerceda;Mujeres;925
15 Coruña, A;15025 Cerdido;Ambos sexos;328
15 Coruña, A;15025 Cerdido;Hombres;159
15 Coruña, A;15025 Cerdido;Mujeres;169
15 Coruña, A;15027 Coirós;Ambos sexos;622
15 Coruña, A;15027 Coirós;Hombres;301
15 Coruña, A;15027 Coirós;Mujeres;321
15 Coruña, A;15028 Corcubión;Ambos sexos;505
15 Coruña, A;15028 Corcubión;Hombres;232
15 Coruña, A;15028 Corcubión;Mujeres;273
15 Coruña, A;15029 Coristanco;Ambos sexos;2.169
15 Coruña, A;15029 Coristanco;Hombres;1.042
15 Coruña, A;15029 Coristanco;Mujeres;1.127
15 Coruña, A;15030 Coruña, A;Ambos sexos;34.756
15 Coruña, A;15030 Coruña, A;Hombres;17.169
15 Coruña, A;15030 Coruña, A;Mujeres;17.587
15 Coruña, A;15031 Culleredo;Ambos sexos;1.540
15 Coruña, A;15031 Culleredo;Hombres;729
15 Coruña, A;15031 Culleredo;Mujeres;811
15 Coruña, A;15032 Curtis;Ambos sexos;907
15 Coruña, A;15032 Curtis;Hombres;400
15 Coruña, A;15032 Curtis;Mujeres;507
15 Coruña, A;15033 Dodro;Ambos sexos;745
15 Coruña, A;15033 Dodro;Hombres;342
15 Coruña, A;15033 Dodro;Mujeres;403
15 Coruña, A;15034 Dumbría;Ambos sexos;1.264
15 Coruña, A;15034 Dumbría;Hombres;608
15 Coruña, A;15034 Dumbría;Mujeres;656
15 Coruña, A;15035 Fene;Ambos sexos;1.179
15 Coruña, A;15035 Fene;Hombres;578
15 Coruña, A;15035 Fene;Mujeres;601
15 Coruña, A;15036 Ferrol;Ambos sexos;5.268
15 Coruña, A;15036 Ferrol;Hombres;2.550
15 Coruña, A;15036 Ferrol;Mujeres;2.718
15 Coruña, A;15037 Fisterra;Ambos sexos;2.746
15 Coruña, A;15037 Fisterra;Hombres;1.334
15 Coruña, A;15037 Fisterra;Mujeres;1.412
15 Coruña, A;15038 Frades;Ambos sexos;590
15 Coruña, A;15038 Frades;Hombres;287
15 Coruña, A;15038 Frades;Mujeres;303
15 Coruña, A;15039 Irixoa;Ambos sexos;263
15 Coruña, A;15039 Irixoa;Hombres;121
15 Coruña, A;15039 Irixoa;Mujeres;142
15 Coruña, A;15040 Laxe;Ambos sexos;1.869
15 Coruña, A;15040 Laxe;Hombres;921
15 Coruña, A;15040 Laxe;Mujeres;948
15 Coruña, A;15041 Laracha, A;Ambos sexos;2.491
15 Coruña, A;15041 Laracha, A;Hombres;1.176
